i,t,m,age,sex,HH_size
94245,2017,USA,31,Female,2
94246,2017,USA,48,Male,4
94247,2017,USA,27,Male,2
94248,2017,USA,38,Female,3
94249,2017,USA,66,Female,2
94250,2017,USA,23,Female,3
94251,2017,USA,22,Female,3
94252,2017,USA,15,Male,5
94253,2017,USA,70,Female,2
94254,2017,USA,8,Female,4
94255,2017,USA,43,Male,4
94256,2017,USA,8,Female,4
94257,2017,USA,11,Male,4
94258,2017,USA,51,Male,3
94259,2017,USA,50,Female,5
94260,2017,USA,48,Female,4
94261,2017,USA,63,Female,2
94262,2017,USA,22,Male,3
94263,2017,USA,17,Male,3
94264,2017,USA,7,Female,5
94265,2017,USA,75,Male,5
94266,2017,USA,43,Male,6
94267,2017,USA,80,Female,4
94268,2017,USA,13,Male,7
94269,2017,USA,10,Female,7
94270,2017,USA,33,Male,5
94271,2017,USA,18,Male,2
94272,2017,USA,16,Male,4
94273,2017,USA,63,Male,2
94274,2017,USA,58,Female,2
94275,2017,USA,54,Male,3
94276,2017,USA,80,Male,3
94277,2017,USA,41,Female,4
94278,2017,USA,62,Male,2
94279,2017,USA,39,Male,3
94280,2017,USA,9,Female,6
94281,2017,USA,31,Female,4
94282,2017,USA,17,Female,4
94283,2017,USA,60,Female,2
94284,2017,USA,58,Female,2
94285,2017,USA,43,Male,5
94286,2017,USA,75,Female,1
94287,2017,USA,20,Male,5
94288,2017,USA,28,Female,5
94289,2017,USA,17,Female,2
94290,2017,USA,35,Female,6
94291,2017,USA,27,Female,4
94292,2017,USA,14,Female,4
94293,2017,USA,64,Male,2
94294,2017,USA,14,Female,7
94295,2017,USA,48,Female,5
94296,2017,USA,1,Female,3
94297,2017,USA,2,Male,3
94298,2017,USA,80,Male,2
94299,2017,USA,12,Female,3
94300,2017,USA,69,Female,1
94301,2017,USA,64,Female,4
94302,2017,USA,24,Female,7
94303,2017,USA,65,Male,5
94304,2017,USA,40,Male,5
94305,2017,USA,18,Female,3
94306,2017,USA,22,Female,1
94307,2017,USA,10,Female,6
94308,2017,USA,11,Female,7
94309,2017,USA,54,Female,5
94310,2017,USA,2,Male,2
94311,2017,USA,41,Female,2
94312,2017,USA,15,Female,6
94313,2017,USA,41,Male,2
94314,2017,USA,48,Male,4
94315,2017,USA,5.40E-79,Female,7
94316,2017,USA,5.40E-79,Male,5
94317,2017,USA,10,Male,5
94318,2017,USA,3,Female,5
94319,2017,USA,44,Male,3
94320,2017,USA,33,Male,7
94321,2017,USA,60,Male,2
94322,2017,USA,20,Male,5
94323,2017,USA,60,Male,4
94324,2017,USA,50,Female,2
94325,2017,USA,62,Female,4
94326,2017,USA,55,Male,1
94327,2017,USA,61,Male,2
94328,2017,USA,29,Female,5
94329,2017,USA,6,Female,7
94330,2017,USA,57,Female,3
94331,2017,USA,4,Female,7
94332,2017,USA,41,Female,2
94333,2017,USA,5.40E-79,Male,4
94334,2017,USA,65,Female,2
94335,2017,USA,69,Male,4
94336,2017,USA,74,Male,2
94337,2017,USA,44,Male,7
94338,2017,USA,4,Female,4
94339,2017,USA,37,Male,2
94340,2017,USA,25,Male,2
94341,2017,USA,24,Male,5
94342,2017,USA,57,Female,1
94343,2017,USA,71,Male,2
94344,2017,USA,8,Female,5
94345,2017,USA,65,Male,2
94346,2017,USA,5.40E-79,Male,4
94347,2017,USA,5.40E-79,Female,6
94348,2017,USA,80,Male,2
94349,2017,USA,17,Male,6
94350,2017,USA,54,Male,4
94351,2017,USA,14,Male,6
94352,2017,USA,70,Female,2
94353,2017,USA,19,Female,5
